time,temp_nocalibrated_depth_9.75m,temp_nocalibrated_depth_8.25m,temp_nocalibrated_depth_6.75m,temp_nocalibrated_depth_5.25m,temp_nocalibrated_depth_4.25m,temp_nocalibrated_depth_3.25m,temp_nocalibrated_depth_2.25m,temp_nocalibrated_depth_1.25m,temp_nocalibrated_depth_0.75m,temp_nocalibrated_depth_0.25m
2024-09-19 01:02:02,5.375,5.3125,5.3125,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 01:30:56,5.3125,5.3125,5.3125,5.25,5.375,5.375,5.4375,5.375,5.375,5.25
2024-09-19 02:00:55,5.4375,5.4375,5.375,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 02:30:45,5.3125,5.25,5.3125,5.3125,5.375,5.375,5.4375,5.375,5.375,5.25
2024-09-19 03:00:58,5.75,5.375,5.25,5.25,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 03:30:58,5.8125,5.5,5.25,5.25,5.375,5.3125,5.4375,5.375,5.3125,5.25
2024-09-19 04:01:27,5.5625,5.375,5.3125,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 04:30:45,5.4375,5.3125,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 05:00:56,5.4375,5.3125,5.25,5.1875,5.25,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 05:30:56,5.4375,5.3125,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 06:00:55,5.4375,5.3125,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 06:30:46,5.375,5.25,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 07:02:18,5.3125,5.25,5.3125,5.3125,5.375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-19 07:30:53,5.5,5.375,5.3125,5.3125,5.3125,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 08:00:57,5.5625,5.4375,5.375,5.375,5.4375,5.4375,5.5,5.4375,5.4375,5.375
2024-09-19 08:30:43,5.5625,5.5,5.4375,5.4375,5.5,5.5,5.5625,5.5,5.5,5.4375
2024-09-19 09:00:57,5.375,5.3125,5.3125,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.3125
2024-09-19 09:30:58,5.375,5.375,5.375,5.375,5.4375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-19 10:01:25,5.5,5.5,5.5,5.4375,5.4375,5.375,5.4375,5.4375,5.375,5.3125
2024-09-19 10:30:46,5.5625,5.5,5.4375,5.4375,5.5,5.4375,5.5625,5.5,5.5,5.375
2024-09-19 11:00:57,5.5,5.5,5.4375,5.4375,5.5,5.4375,5.5625,5.5625,5.5,5.4375
2024-09-19 11:30:54,5.5625,5.5,5.4375,5.4375,5.5,5.4375,5.5625,5.5625,5.5625,5.4375
2024-09-19 12:00:56,5.4375,5.3125,5.25,5.25,5.375,5.3125,5.375,5.375,5.375,5.25
2024-09-19 12:30:43,5.4375,5.375,5.3125,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 13:01:50,6.0625,6.0,6.3125,6.3125,6.125,5.625,5.5,5.4375,5.4375,5.3125
2024-09-19 13:30:55,6.375,6.375,6.0625,5.625,5.5,5.375,5.4375,5.4375,5.4375,5.3125
2024-09-19 14:00:57,6.4375,6.25,5.75,5.4375,5.4375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 14:30:46,6.5,6.375,6.25,6.125,6.1875,5.6875,5.5,5.375,5.375,5.25
2024-09-19 15:00:56,6.4375,6.1875,6.125,6.0625,6.0625,5.625,5.4375,5.375,5.3125,5.25
2024-09-19 15:30:56,6.3125,6.125,6.0625,6.0,6.0,5.625,5.4375,5.375,5.375,5.25
2024-09-19 16:01:26,6.4375,6.1875,6.0625,5.9375,5.875,5.5,5.4375,5.375,5.375,5.25
2024-09-19 16:30:45,6.25,6.0625,5.9375,5.8125,5.8125,5.375,5.4375,5.375,5.375,5.3125
2024-09-19 17:00:55,6.1875,6.0625,5.875,5.875,5.875,5.5625,5.4375,5.375,5.375,5.25
2024-09-19 17:30:58,6.4375,6.125,5.9375,5.9375,5.9375,5.6875,5.4375,5.3125,5.3125,5.25
2024-09-19 18:00:54,6.3125,6.0625,5.875,5.625,5.4375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 18:30:46,6.125,6.0,5.625,5.4375,5.375,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 19:01:28,6.1875,6.0625,5.9375,5.75,5.6875,5.4375,5.4375,5.3125,5.3125,5.1875
2024-09-19 19:30:57,6.1875,6.0625,5.8125,5.625,5.5,5.375,5.4375,5.375,5.375,5.25
2024-09-19 20:00:55,5.875,5.6875,5.4375,5.375,5.4375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-19 20:30:49,5.5,5.4375,5.375,5.3125,5.375,5.375,5.4375,5.375,5.375,5.3125
2024-09-19 21:00:56,5.625,5.4375,5.3125,5.3125,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 21:30:55,5.375,5.3125,5.25,5.25,5.3125,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 22:01:29,5.5,5.4375,5.375,5.375,5.4375,5.375,5.4375,5.375,5.375,5.25
2024-09-19 22:30:48,5.3125,5.1875,5.1875,5.1875,5.3125,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 23:01:00,5.5,5.1875,5.1875,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-19 23:30:57,5.625,5.4375,5.25,5.25,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-20 00:00:54,5.75,5.5,5.4375,5.375,5.375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-20 00:30:46,5.75,5.625,5.5,5.375,5.375,5.4375,5.625,5.5,5.4375,5.375
2024-09-20 01:02:16,6.0,5.8125,5.6875,5.625,5.625,5.5,5.5,5.5,5.5,5.375
2024-09-20 01:30:55,5.8125,5.6875,5.4375,5.3125,5.3125,5.25,5.375,5.3125,5.3125,5.25
2024-09-20 02:00:55,5.8125,5.75,5.625,5.375,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-20 02:30:44,5.875,5.75,5.625,5.4375,5.375,5.25,5.375,5.3125,5.3125,5.1875
2024-09-20 03:00:56,5.875,5.75,5.6875,5.625,5.4375,5.25,5.375,5.3125,5.3125,5.1875
